,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
83,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",Matanuska-Susitna Borough,91600,91400,92600,92000
84,AK,"Nome Census Area, AK",Nome Census Area,58600,55600,54400,50900
85,AK,"North Slope Borough, AK",North Slope Borough,85700,84900,82200,83200
86,AK,"Northwest Arctic Borough, AK",Northwest Arctic Borough,63300,62000,61400,64000
87,AK,Petersburg Borough,Petersburg Borough,82000,79900,,
88,AK,"Prince of Wales-Hyder Census Area, AK",Prince of Wales-Hyder Census Area,70200,67600,67000,65500
89,AK,"Sitka City and Borough, AK",Sitka City and Borough,94000,89100,87500,91700
90,AK,"Skagway Municipality, AK",Skagway Municipality,88500,83600,86400,85000
91,AK,"Southeast Fairbanks Census Area, AK",Southeast Fairbanks Census Area,86400,82700,79900,77600
92,AK,"Valdez-Cordova Census Area, AK",Valdez-Cordova Census Area,103500,113200,106200,95000
93,AK,"Wrangell City and Borough, AK",Wrangell City and Borough,75200,71400,66100,70600
94,AK,"Yakutat City and Borough, AK",Yakutat City and Borough,83500,90800,85800,84800
95,AK,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk Census Area,52600,51400,50800,50600
96,AZ,"Apache County, AZ",Apache County,42700,43200,47200,35200
97,AZ,"Sierra Vista-Douglas, AZ MSA",Cochise County,66900,66300,54100,58400
98,AZ,"Flagstaff, AZ MSA",Coconino County,76800,75200,76400,75100
99,AZ,"Gila County, AZ",Gila County,52200,51800,50500,49900
100,AZ,"Graham County, AZ",Graham County,64100,62400,61300,57400
101,AZ,"Greenlee County, AZ",Greenlee County,66500,64600,61300,60700
102,AZ,"La Paz County, AZ",La Paz County,46700,47300,46100,43800
103,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA",Maricopa County,79000,77800,72900,69100
104,AZ,"Lake Havasu City-Kingman, AZ MSA",Mohave County,55700,55700,56200,49600
105,AZ,"Navajo County, AZ",Navajo County,50200,53200,47700,49200
106,AZ,"Tucson, AZ MSA",Pima County,68600,68400,63900,60600
107,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA",Pinal County,79000,77800,72900,69100
108,AZ,"Santa Cruz County, AZ",Santa Cruz County,47100,46800,46600,46600
109,AZ,"Prescott, AZ MSA",Yavapai County,63800,64600,66100,61000
110,AZ,"Yuma, AZ MSA",Yuma County,51400,56500,50900,47000
111,AR,"Arkansas County, AR",Arkansas County,54400,51800,49400,48800
112,AR,"Ashley County, AR",Ashley County,52900,50800,47500,46300
