,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
2503,IA,"Adams County, IA",Adams County,67900,65700,65000,61800
2504,IA,"Allamakee County, IA",Allamakee County,70400,68400,66300,59700
2505,IA,"Appanoose County, IA",Appanoose County,56200,57200,58400,58700
2506,IA,"Audubon County, IA",Audubon County,63900,65700,67400,64500
2507,IA,"Benton County, IA HUD Metro FMR Area",Benton County,83400,85100,82700,79900
2508,IA,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",Black Hawk County,74100,71600,74600,67400
2509,IA,"Boone County, IA",Boone County,79300,77700,74600,73000
2510,IA,"Bremer County, IA HUD Metro FMR Area",Bremer County,88700,87600,86000,82800
2511,IA,"Buchanan County, IA",Buchanan County,77800,79200,76600,73600
2512,IA,"Buena Vista County, IA",Buena Vista County,70300,68600,63900,61800
2513,IA,"Butler County, IA",Butler County,72700,71600,70100,67100
2514,IA,"Calhoun County, IA",Calhoun County,68400,63000,60600,61700
2515,IA,"Carroll County, IA",Carroll County,82000,78500,75000,71100
2516,IA,"Cass County, IA",Cass County,66300,61600,57400,55000
2517,IA,"Cedar County, IA",Cedar County,85200,82500,77000,71900
2518,IA,"Cerro Gordo County, IA",Cerro Gordo County,73700,71700,68900,66800
2519,IA,"Cherokee County, IA",Cherokee County,75100,73200,70500,68800
2520,IA,"Chickasaw County, IA",Chickasaw County,78000,73200,67700,64800
2521,IA,"Clarke County, IA",Clarke County,64300,66000,66600,61500
2522,IA,"Clay County, IA",Clay County,67400,68500,68600,68000
2523,IA,"Clayton County, IA",Clayton County,70400,69500,65300,63100
2524,IA,"Clinton County, IA",Clinton County,70600,71700,67500,69000
2525,IA,"Crawford County, IA",Crawford County,68200,63100,60700,59700
2526,IA,"Des Moines-West Des Moines, IA MSA",Dallas County,91300,89200,88000,79600
2527,IA,"Davis County, IA",Davis County,75900,71000,62100,62300
2528,IA,"Decatur County, IA",Decatur County,59000,53500,53200,54100
2529,IA,"Delaware County, IA",Delaware County,78800,76900,75900,74200
2530,IA,"Des Moines County, IA",Des Moines County,66900,64700,59700,58300
2531,IA,"Dickinson County, IA",Dickinson County,79200,83400,79000,75200
2532,IA,"Dubuque, IA MSA",Dubuque County,77900,82900,84100,75100
2533,IA,"Emmet County, IA",Emmet County,72400,71600,67800,67500
2534,IA,"Fayette County, IA",Fayette County,64000,63900,62700,60000
2535,IA,"Floyd County, IA",Floyd County,66900,67100,63900,59000
2536,IA,"Franklin County, IA",Franklin County,65300,61200,60500,61800
2537,IA,"Fremont County, IA",Fremont County,71500,70100,67400,68600
2538,IA,"Greene County, IA",Greene County,72800,71100,64600,62400
2539,IA,"Waterloo-Cedar Falls, IA HUD Metro FMR Area",Grundy County,74100,71600,74600,67400
2540,IA,"Des Moines-West Des Moines, IA MSA",Guthrie County,91300,89200,88000,79600
2541,IA,"Hamilton County, IA",Hamilton County,73900,73400,68600,63700
2542,IA,"Hancock County, IA",Hancock County,74100,71500,70200,67900
2543,IA,"Hardin County, IA",Hardin County,73500,74400,72900,70500
2544,IA,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",Harrison County,87800,87000,86000,81600
2545,IA,"Henry County, IA",Henry County,68200,66900,63900,63600
2546,IA,"Howard County, IA",Howard County,70300,66200,65800,64500
2547,IA,"Humboldt County, IA",Humboldt County,71600,67900,67500,63200
2548,IA,"Ida County, IA",Ida County,77200,73200,69000,63400
2549,IA,"Iowa County, IA",Iowa County,76700,76400,74200,75500
2550,IA,"Jackson County, IA",Jackson County,72100,66300,62600,61700
2551,IA,"Jasper County, IA",Jasper County,70700,72800,72600,72400
2552,IA,"Jefferson County, IA",Jefferson County,62900,66200,60800,62400
2553,IA,"Iowa City, IA HUD Metro FMR Area",Johnson County,99700,101200,96000,87000
2554,IA,"Jones County, IA HUD Metro FMR Area",Jones County,76300,76200,73600,69700
2555,IA,"Keokuk County, IA",Keokuk County,71100,69200,64200,58600
2556,IA,"Kossuth County, IA",Kossuth County,71900,73600,70900,68500
2557,IA,"Lee County, IA",Lee County,65500,64400,62000,58700
2558,IA,"Cedar Rapids, IA HUD Metro FMR Area",Linn County,90100,85200,89300,81300
2559,IA,"Louisa County, IA",Louisa County,70600,71800,66000,63300
2560,IA,"Lucas County, IA",Lucas County,68400,67100,64800,60300
2561,IA,"Lyon County, IA",Lyon County,77300,74200,73900,70300
2562,IA,"Des Moines-West Des Moines, IA MSA",Madison County,91300,89200,88000,79600
2563,IA,"Mahaska County, IA",Mahaska County,68700,65100,60500,60600
2564,IA,"Marion County, IA",Marion County,76100,76400,75400,73300
2565,IA,"Marshall County, IA",Marshall County,68000,67200,67400,65000
2566,IA,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",Mills County,87800,87000,86000,81600
2567,IA,"Mitchell County, IA",Mitchell County,71300,70700,69700,67500
2568,IA,"Monona County, IA",Monona County,68100,63900,62100,58600
2569,IA,"Monroe County, IA",Monroe County,69600,66900,62900,59800
2570,IA,"Montgomery County, IA",Montgomery County,59800,59300,58100,57000
2571,IA,"Muscatine County, IA",Muscatine County,73000,73100,70800,67500
2572,IA,"O'Brien County, IA",O'Brien County,71800,76300,71500,70300
2573,IA,"Osceola County, IA",Osceola County,71700,68700,67700,67600
2574,IA,"Page County, IA",Page County,64900,64900,62700,63800
2575,IA,"Palo Alto County, IA",Palo Alto County,71800,71200,67900,62800
2576,IA,"Plymouth County, IA HUD Metro FMR Area",Plymouth County,82200,79100,76100,75900
2577,IA,"Pocahontas County, IA",Pocahontas County,73100,67000,65200,62200
2578,IA,"Des Moines-West Des Moines, IA MSA",Polk County,91300,89200,88000,79600
2579,IA,"Omaha-Council Bluffs, NE-IA HUD Metro FMR Area",Pottawattamie County,87800,87000,86000,81600
2580,IA,"Poweshiek County, IA",Poweshiek County,75400,73000,69600,70200
2581,IA,"Ringgold County, IA",Ringgold County,65000,62200,61200,58600
2582,IA,"Sac County, IA",Sac County,72000,71000,68200,67200
2583,IA,"Davenport-Moline-Rock Island, IA-IL MSA",Scott County,76300,75400,72700,72300
2584,IA,"Shelby County, IA",Shelby County,75500,72500,71800,68300
2585,IA,"Sioux County, IA",Sioux County,82100,80600,77000,74800
2586,IA,"Ames, IA MSA",Story County,85400,104300,89400,79800
2587,IA,"Tama County, IA",Tama County,71600,71600,68300,66800
2588,IA,"Taylor County, IA",Taylor County,64100,62400,59700,57000
2589,IA,"Union County, IA",Union County,69900,66800,63800,60800
2590,IA,"Van Buren County, IA",Van Buren County,62500,64600,62900,61100
2591,IA,"Wapello County, IA",Wapello County,60000,58700,59000,56100
2592,IA,"Des Moines-West Des Moines, IA MSA",Warren County,91300,89200,88000,79600
2593,IA,"Washington County, IA HUD Metro FMR Area",Washington County,78900,78200,75200,73800
2594,IA,"Wayne County, IA",Wayne County,61900,58200,59100,61500
2595,IA,"Webster County, IA",Webster County,63400,62700,60700,59400
2596,IA,"Winnebago County, IA",Winnebago County,70200,67100,65000,63300
2597,IA,"Winneshiek County, IA",Winneshiek County,80800,80700,76100,70500
2598,IA,"Sioux City, IA-NE-SD HUD Metro FMR Area",Woodbury County,73300,75200,69500,65100
2599,IA,"Worth County, IA",Worth County,72300,68100,66000,64600
2600,IA,"Wright County, IA",Wright County,63900,64000,62900,62500
2601,KS,"Allen County, KS",Allen County,61500,61600,56700,53100
2602,KS,"Anderson County, KS",Anderson County,65200,61100,62400,59500
2603,KS,"Atchison County, KS",Atchison County,63400,61900,60300,59100
2604,KS,"Barber County, KS",Barber County,64600,73900,65900,66000
2605,KS,"Barton County, KS",Barton County,67700,66100,63100,61700
2606,KS,"Bourbon County, KS",Bourbon County,53600,54300,55600,54900
2607,KS,"Brown County, KS",Brown County,59000,57900,56700,55500
2608,KS,"Wichita, KS HUD Metro FMR Area",Butler County,75800,72600,72900,69400
2609,KS,"Chase County, KS",Chase County,64000,65200,65700,62300
2610,KS,"Chautauqua County, KS",Chautauqua County,56500,56900,54400,48400
2611,KS,"Cherokee County, KS",Cherokee County,55000,56300,55200,54400
2612,KS,"Cheyenne County, KS",Cheyenne County,65400,63700,64600,63500
2613,KS,"Clark County, KS",Clark County,71400,63500,61700,60700
2614,KS,"Clay County, KS",Clay County,69700,67800,67300,66000
2615,KS,"Cloud County, KS",Cloud County,55700,58000,55400,51500
2616,KS,"Coffey County, KS",Coffey County,78400,76900,74500,71800
2617,KS,"Comanche County, KS",Comanche County,77700,66000,58400,62300
2618,KS,"Cowley County, KS",Cowley County,61400,60200,58700,57400
2619,KS,"Crawford County, KS",Crawford County,61200,61100,60000,58200
2620,KS,"Decatur County, KS",Decatur County,65400,60500,59200,57500
2621,KS,"Dickinson County, KS",Dickinson County,64800,64900,65100,62700
2622,KS,"St. Joseph, MO-KS MSA",Doniphan County,67800,63600,64300,64300
2623,KS,"Lawrence, KS MSA",Douglas County,84500,88800,81900,87400
2624,KS,"Edwards County, KS",Edwards County,63100,61100,61900,60100
2625,KS,"Elk County, KS",Elk County,57400,55500,53500,51000
2626,KS,"Ellis County, KS",Ellis County,79900,77600,73000,67600
2627,KS,"Ellsworth County, KS",Ellsworth County,71000,67600,68400,64600
2628,KS,"Finney County, KS",Finney County,66600,62000,62600,59300
2629,KS,"Ford County, KS",Ford County,61800,60200,57400,57900
2630,KS,"Franklin County, KS",Franklin County,71100,70100,69400,64800
2631,KS,"Geary County, KS",Geary County,56700,53600,52700,50200
2632,KS,"Gove County, KS",Gove County,62500,63500,60200,57600
2633,KS,"Graham County, KS",Graham County,59700,61800,59400,59000
2634,KS,"Grant County, KS",Grant County,73000,72400,68000,66500
2635,KS,"Gray County, KS",Gray County,74200,72200,70000,69700
2636,KS,"Greeley County, KS",Greeley County,61100,65300,62900,61600
2637,KS,"Greenwood County, KS",Greenwood County,56900,55700,57000,54100
2638,KS,"Hamilton County, KS",Hamilton County,53900,58700,59000,52200
2639,KS,"Harper County, KS",Harper County,62200,61600,63300,59700
2640,KS,"Wichita, KS HUD Metro FMR Area",Harvey County,75800,72600,72900,69400
2641,KS,"Haskell County, KS",Haskell County,62600,63100,65800,67600
2642,KS,"Hodgeman County, KS",Hodgeman County,74200,72700,76000,76100
2643,KS,"Topeka, KS MSA",Jackson County,77000,77700,75400,68600
2644,KS,"Topeka, KS MSA",Jefferson County,77000,77700,75400,68600
2645,KS,"Jewell County, KS",Jewell County,54400,56300,52500,52300
2646,KS,"Kansas City, MO-KS HUD Metro FMR Area",Johnson County,86600,86000,82700,80000
2647,KS,"Kearny County, KS",Kearny County,59600,69400,62400,64700
2648,KS,"Kingman County, KS HUD Metro FMR Area",Kingman County,74100,74300,76500,68500
2649,KS,"Kiowa County, KS",Kiowa County,68300,66600,65700,64200
2650,KS,"Labette County, KS",Labette County,59600,59100,54500,54400
2651,KS,"Lane County, KS",Lane County,72300,72500,70300,68900
2652,KS,"Kansas City, MO-KS HUD Metro FMR Area",Leavenworth County,86600,86000,82700,80000
2653,KS,"Lincoln County, KS",Lincoln County,67400,67200,67800,65600
2654,KS,"Kansas City, MO-KS HUD Metro FMR Area",Linn County,86600,86000,82700,80000
2655,KS,"Logan County, KS",Logan County,70600,70600,67700,68000
2656,KS,"Lyon County, KS",Lyon County,63900,60800,54800,53400
2657,KS,"McPherson County, KS",McPherson County,73500,72900,73500,73100
2658,KS,"Marion County, KS",Marion County,67000,66500,66100,63700
2659,KS,"Marshall County, KS",Marshall County,66500,66600,66500,63200
2660,KS,"Meade County, KS",Meade County,69400,66200,65100,62900
2661,KS,"Kansas City, MO-KS HUD Metro FMR Area",Miami County,86600,86000,82700,80000
2662,KS,"Mitchell County, KS",Mitchell County,63600,66800,66100,68700
2663,KS,"Montgomery County, KS",Montgomery County,56500,56700,54400,52700
2664,KS,"Morris County, KS",Morris County,70800,67100,62400,57200
2665,KS,"Morton County, KS",Morton County,60300,60800,59900,57700
2666,KS,"Nemaha County, KS",Nemaha County,78200,77300,74600,71300
2667,KS,"Neosho County, KS",Neosho County,59900,59600,56800,53600
2668,KS,"Ness County, KS",Ness County,62200,62600,64900,63400
2669,KS,"Norton County, KS",Norton County,61700,67400,64200,65500
2670,KS,"Topeka, KS MSA",Osage County,77000,77700,75400,68600
2671,KS,"Osborne County, KS",Osborne County,69800,61400,60600,57600
2672,KS,"Ottawa County, KS",Ottawa County,72800,71100,70200,69800
2673,KS,"Pawnee County, KS",Pawnee County,58700,60100,61800,64900
2674,KS,"Phillips County, KS",Phillips County,63400,64600,62800,59200
2675,KS,"Manhattan, KS MSA",Pottawatomie County,77400,69700,83800,72200
2676,KS,"Pratt County, KS",Pratt County,70600,70500,66000,66000
2677,KS,"Rawlins County, KS",Rawlins County,68900,67200,64800,61300
2678,KS,"Reno County, KS",Reno County,63700,62600,60600,60600
2679,KS,"Republic County, KS",Republic County,68600,64900,61300,57400
2680,KS,"Rice County, KS",Rice County,65400,65600,66200,66300
2681,KS,"Manhattan, KS MSA",Riley County,77400,69700,83800,72200
2682,KS,"Rooks County, KS",Rooks County,64400,63500,63800,58600
2683,KS,"Rush County, KS",Rush County,66600,68500,64300,60300
2684,KS,"Russell County, KS",Russell County,66600,64300,60400,58200
2685,KS,"Saline County, KS",Saline County,70200,70200,65100,62700
2686,KS,"Scott County, KS",Scott County,80900,71800,65700,59700
2687,KS,"Wichita, KS HUD Metro FMR Area",Sedgwick County,75800,72600,72900,69400
2688,KS,"Seward County, KS",Seward County,52000,52900,54100,52900
2689,KS,"Topeka, KS MSA",Shawnee County,77000,77700,75400,68600
2690,KS,"Sheridan County, KS",Sheridan County,72800,76000,67900,65900
2691,KS,"Sherman County, KS",Sherman County,57400,59400,55700,53200
2692,KS,"Smith County, KS",Smith County,58500,60600,58400,58200
2693,KS,"Stafford County, KS",Stafford County,67100,64700,66300,63200
2694,KS,"Stanton County, KS",Stanton County,61100,60600,59200,57300
2695,KS,"Stevens County, KS",Stevens County,63900,69600,64400,66700
2696,KS,"Sumner County, KS HUD Metro FMR Area",Sumner County,73100,71900,70000,68400
2697,KS,"Thomas County, KS",Thomas County,74000,70600,72600,72100
2698,KS,"Trego County, KS",Trego County,73700,73800,70300,68000
2699,KS,"Topeka, KS MSA",Wabaunsee County,77000,77700,75400,68600
2700,KS,"Wallace County, KS",Wallace County,87400,87800,84000,79000
2701,KS,"Washington County, KS",Washington County,62400,62800,60100,59300
2702,KS,"Wichita County, KS",Wichita County,68100,68100,64700,62200
2703,KS,"Wilson County, KS",Wilson County,60600,59300,57800,51700
2704,KS,"Woodson County, KS",Woodson County,55000,56000,53400,52900
2705,KS,"Kansas City, MO-KS HUD Metro FMR Area",Wyandotte County,86600,86000,82700,80000
2706,KY,"Adair County, KY",Adair County,47800,47700,47200,48100
2707,KY,"Allen County, KY HUD Metro FMR Area",Allen County,57900,54500,55000,56100
2708,KY,"Anderson County, KY",Anderson County,70300,69700,68800,69400
2709,KY,"Ballard County, KY",Ballard County,59900,58200,60300,55800
2710,KY,"Barren County, KY",Barren County,49200,50100,50800,50000
2711,KY,"Bath County, KY",Bath County,49500,45000,42100,40500
2712,KY,"Bell County, KY",Bell County,33400,33100,31700,31700
2713,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Boone County,85400,86300,81300,78300
2714,KY,"Lexington-Fayette, KY MSA",Bourbon County,75500,79400,74500,70100
2715,KY,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",Boyd County,62600,59100,56400,54900
2716,KY,"Boyle County, KY",Boyle County,56900,58600,56500,56100
2717,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Bracken County,85400,86300,81300,78300
2718,KY,"Breathitt County, KY",Breathitt County,35200,33700,35300,34500
2719,KY,"Breckinridge County, KY",Breckinridge County,64200,62300,59500,57400
2720,KY,"Louisville, KY-IN HUD Metro FMR Area",Bullitt County,76900,77500,76400,71500
2721,KY,"Butler County, KY HUD Metro FMR Area",Butler County,56700,54600,50200,45200
2722,KY,"Caldwell County, KY",Caldwell County,59500,58200,54200,54700
2723,KY,"Calloway County, KY",Calloway County,60200,60100,56900,56700
2724,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Campbell County,85400,86300,81300,78300
2725,KY,"Carlisle County, KY",Carlisle County,57000,55200,55400,52500
2726,KY,"Carroll County, KY",Carroll County,52800,51400,50200,50600
2727,KY,"Carter County, KY",Carter County,44200,45400,46600,47900
2728,KY,"Casey County, KY",Casey County,43100,45400,45400,45900
2729,KY,"Clarksville, TN-KY MSA",Christian County,63400,68900,65000,55400
2730,KY,"Lexington-Fayette, KY MSA",Clark County,75500,79400,74500,70100
2731,KY,"Clay County, KY",Clay County,35100,34000,31700,28800
2732,KY,"Clinton County, KY",Clinton County,41100,39600,38000,36400
2733,KY,"Crittenden County, KY",Crittenden County,60100,58900,55800,54400
2734,KY,"Cumberland County, KY",Cumberland County,47100,45700,42400,38300
2735,KY,"Owensboro, KY MSA",Daviess County,64400,63400,70400,62300
2736,KY,"Bowling Green, KY HUD Metro FMR Area",Edmonson County,68500,64400,57900,57400
2737,KY,"Elliott County, KY",Elliott County,40200,34900,37600,36700
2738,KY,"Estill County, KY",Estill County,41700,42300,42600,42600
2739,KY,"Lexington-Fayette, KY MSA",Fayette County,75500,79400,74500,70100
2740,KY,"Fleming County, KY",Fleming County,53900,53600,48300,47900
2741,KY,"Floyd County, KY",Floyd County,40400,40200,39500,40300
2742,KY,"Franklin County, KY",Franklin County,72000,71100,68200,65200
2743,KY,"Fulton County, KY",Fulton County,46400,43100,42200,42300
2744,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Gallatin County,85400,86300,81300,78300
2745,KY,"Garrard County, KY",Garrard County,65200,62900,59700,55700
2746,KY,"Grant County, KY HUD Metro FMR Area",Grant County,57300,52900,53100,52500
2747,KY,"Graves County, KY",Graves County,59000,56200,56100,54800
2748,KY,"Grayson County, KY",Grayson County,48700,46500,47600,46700
2749,KY,"Green County, KY",Green County,54200,51800,51700,49200
2750,KY,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",Greenup County,62600,59100,56400,54900
2751,KY,"Owensboro, KY MSA",Hancock County,64400,63400,70400,62300
2752,KY,"Elizabethtown, KY HUD Metro FMR Area",Hardin County,61000,68600,68100,61500
2753,KY,"Harlan County, KY",Harlan County,33900,34400,36300,36500
2754,KY,"Harrison County, KY",Harrison County,64300,61800,58200,51100
2755,KY,"Hart County, KY",Hart County,49500,48300,46000,44700
2756,KY,"Evansville, IN-KY MSA",Henderson County,78400,74800,67200,65100
2757,KY,"Louisville, KY-IN HUD Metro FMR Area",Henry County,76900,77500,76400,71500
2758,KY,"Hickman County, KY",Hickman County,56700,51900,52100,51300
2759,KY,"Hopkins County, KY",Hopkins County,60700,60100,59200,58500
2760,KY,"Jackson County, KY",Jackson County,43100,40700,37600,33500
2761,KY,"Louisville, KY-IN HUD Metro FMR Area",Jefferson County,76900,77500,76400,71500
2762,KY,"Lexington-Fayette, KY MSA",Jessamine County,75500,79400,74500,70100
2763,KY,"Johnson County, KY",Johnson County,50200,49800,48000,46100
2764,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Kenton County,85400,86300,81300,78300
2765,KY,"Knott County, KY",Knott County,40700,40900,39000,42800
2766,KY,"Knox County, KY",Knox County,37500,34800,35300,35500
2767,KY,"Elizabethtown, KY HUD Metro FMR Area",Larue County,61000,68600,68100,61500
2768,KY,"Laurel County, KY",Laurel County,49900,48700,46800,45600
2769,KY,"Lawrence County, KY",Lawrence County,43600,44200,44400,46900
2770,KY,"Lee County, KY",Lee County,38800,37200,32400,34600
2771,KY,"Leslie County, KY",Leslie County,40500,39600,39500,40600
2772,KY,"Letcher County, KY",Letcher County,38500,39900,40300,43800
2773,KY,"Lewis County, KY",Lewis County,47500,48200,44200,40200
2774,KY,"Lincoln County, KY",Lincoln County,50500,49200,44000,45700
2775,KY,"Livingston County, KY",Livingston County,61300,58500,56600,53400
2776,KY,"Logan County, KY",Logan County,58700,57600,55200,50500
2777,KY,"Lyon County, KY",Lyon County,64800,64900,63700,60500
2778,KY,"McCracken County, KY",McCracken County,63600,80000,58400,69800
2779,KY,"McCreary County, KY",McCreary County,33000,27000,25600,26200
2780,KY,"Owensboro, KY MSA",McLean County,64400,63400,70400,62300
2781,KY,"Madison County, KY",Madison County,66800,70600,58200,65900
2782,KY,"Magoffin County, KY",Magoffin County,41900,40600,39200,38000
2783,KY,"Marion County, KY",Marion County,59200,56800,50600,50000
2784,KY,"Marshall County, KY",Marshall County,68200,67100,61300,59600
2785,KY,"Martin County, KY",Martin County,45400,43100,41100,35300
2786,KY,"Mason County, KY",Mason County,60700,61200,53500,49800
2787,KY,"Meade County, KY HUD Metro FMR Area",Meade County,74000,66300,61200,60500
2788,KY,"Menifee County, KY",Menifee County,49800,49900,48500,40000
2789,KY,"Mercer County, KY",Mercer County,65600,66000,63200,57600
2790,KY,"Metcalfe County, KY",Metcalfe County,47000,44900,45800,44600
2791,KY,"Monroe County, KY",Monroe County,53100,52100,48100,41500
2792,KY,"Montgomery County, KY",Montgomery County,55000,56400,51500,49200
2793,KY,"Morgan County, KY",Morgan County,44600,43900,41700,40400
2794,KY,"Muhlenberg County, KY",Muhlenberg County,56500,55400,55800,51100
2795,KY,"Nelson County, KY",Nelson County,73000,71200,66100,62100
2796,KY,"Nicholas County, KY",Nicholas County,56300,54500,52000,49500
2797,KY,"Ohio County, KY",Ohio County,52000,50600,47800,47500
2798,KY,"Louisville, KY-IN HUD Metro FMR Area",Oldham County,76900,77500,76400,71500
2799,KY,"Owen County, KY",Owen County,55400,54700,52300,53500
2800,KY,"Owsley County, KY",Owsley County,40900,41300,45900,44400
2801,KY,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Pendleton County,85400,86300,81300,78300
2802,KY,"Perry County, KY",Perry County,45600,45700,45400,45000
2803,KY,"Pike County, KY",Pike County,44300,43600,44800,43600
2804,KY,"Powell County, KY",Powell County,49800,52600,51600,51700
2805,KY,"Pulaski County, KY",Pulaski County,52800,50700,49200,47500
2806,KY,"Robertson County, KY",Robertson County,56100,54800,50800,50700
2807,KY,"Rockcastle County, KY",Rockcastle County,52100,50900,45300,43900
2808,KY,"Rowan County, KY",Rowan County,51800,54200,52800,53400
2809,KY,"Russell County, KY",Russell County,47100,46000,44200,40800
2810,KY,"Lexington-Fayette, KY MSA",Scott County,75500,79400,74500,70100
2811,KY,"Shelby County, KY HUD Metro FMR Area",Shelby County,78900,78900,76200,75200
2812,KY,"Simpson County, KY",Simpson County,61200,59300,56000,52200
2813,KY,"Louisville, KY-IN HUD Metro FMR Area",Spencer County,76900,77500,76400,71500
2814,KY,"Taylor County, KY",Taylor County,50200,48600,45800,44100
2815,KY,"Todd County, KY",Todd County,54100,51100,54100,52800
2816,KY,"Clarksville, TN-KY MSA",Trigg County,63400,68900,65000,55400
2817,KY,"Louisville, KY-IN HUD Metro FMR Area",Trimble County,76900,77500,76400,71500
2818,KY,"Union County, KY",Union County,57800,56300,54300,51200
2819,KY,"Bowling Green, KY HUD Metro FMR Area",Warren County,68500,64400,57900,57400
2820,KY,"Washington County, KY",Washington County,66700,61500,56400,53300
2821,KY,"Wayne County, KY",Wayne County,45000,45000,40200,38300
2822,KY,"Webster County, KY",Webster County,54400,52600,54000,52800
2823,KY,"Whitley County, KY",Whitley County,49800,46600,42000,39400
2824,KY,"Wolfe County, KY",Wolfe County,38200,35200,31800,32400
2825,KY,"Lexington-Fayette, KY MSA",Woodford County,75500,79400,74500,70100
2826,LA,"Acadia Parish, LA HUD Metro FMR Area",Acadia Parish,56600,55300,51100,49400
2827,LA,"Allen Parish, LA",Allen Parish,58300,58200,56300,54500
2828,LA,"Baton Rouge, LA HUD Metro FMR Area",Ascension Parish,79300,78500,73500,74800
2829,LA,"Assumption Parish, LA",Assumption Parish,59000,64700,63100,62900
2830,LA,"Avoyelles Parish, LA",Avoyelles Parish,51100,52500,49300,44600
2831,LA,"Beauregard Parish, LA",Beauregard Parish,67400,65700,62700,62500
2832,LA,"Bienville Parish, LA",Bienville Parish,42100,47700,47600,44400
2833,LA,"Shreveport-Bossier City, LA HUD Metro FMR Area",Bossier Parish,60800,56700,57500,62700
2834,LA,"Shreveport-Bossier City, LA HUD Metro FMR Area",Caddo Parish,60800,56700,57500,62700
2835,LA,"Lake Charles, LA MSA",Calcasieu Parish,68400,70800,57200,60000
2836,LA,"Caldwell Parish, LA",Caldwell Parish,46800,49000,47200,49900
2837,LA,"Lake Charles, LA MSA",Cameron Parish,68400,70800,57200,60000
2838,LA,"Catahoula Parish, LA",Catahoula Parish,59600,58100,56700,53400
2839,LA,"Claiborne Parish, LA",Claiborne Parish,39200,40200,40800,43900
2840,LA,"Concordia Parish, LA",Concordia Parish,47200,44500,42700,44300
2841,LA,"Shreveport-Bossier City, LA HUD Metro FMR Area",De Soto Parish,60800,56700,57500,62700
2842,LA,"Baton Rouge, LA HUD Metro FMR Area",East Baton Rouge Parish,79300,78500,73500,74800
2843,LA,"East Carroll Parish, LA",East Carroll Parish,32100,29700,28500,29600
2844,LA,"Baton Rouge, LA HUD Metro FMR Area",East Feliciana Parish,79300,78500,73500,74800
2845,LA,"Evangeline Parish, LA",Evangeline Parish,44500,44000,45400,42000
2846,LA,"Franklin Parish, LA",Franklin Parish,48300,50100,47700,45600
2847,LA,"Alexandria, LA MSA",Grant Parish,60500,58400,57600,55400
2848,LA,"Iberia Parish, LA HUD Metro FMR Area",Iberia Parish,56600,54800,48300,57600
2849,LA,"Iberville Parish, LA HUD Metro FMR Area",Iberville Parish,60500,59300,59100,59900
2850,LA,"Jackson Parish, LA",Jackson Parish,51700,50900,50800,47800
2851,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",Jefferson Parish,70100,70400,67400,65600
2852,LA,"Jefferson Davis Parish, LA",Jefferson Davis Parish,56900,57400,57800,54000
2853,LA,"Lafayette, LA HUD Metro FMR Area",Lafayette Parish,72100,65200,66000,70400
2854,LA,"Houma-Thibodaux, LA MSA",Lafourche Parish,67600,67200,60800,61600
2855,LA,"La Salle Parish, LA",La Salle Parish,50800,44200,45100,52800
2856,LA,"Lincoln Parish, LA",Lincoln Parish,58100,58000,57200,55900
2857,LA,"Baton Rouge, LA HUD Metro FMR Area",Livingston Parish,79300,78500,73500,74800
2858,LA,"Madison Parish, LA",Madison Parish,34500,38300,36300,33500
2859,LA,"Morehouse Parish, LA",Morehouse Parish,46000,43900,39500,39200
2860,LA,"Natchitoches Parish, LA",Natchitoches Parish,47000,49600,49900,46800
2861,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",Orleans Parish,70100,70400,67400,65600
2862,LA,"Monroe, LA MSA",Ouachita Parish,63800,56700,51200,52200
2863,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",Plaquemines Parish,70100,70400,67400,65600
2864,LA,"Baton Rouge, LA HUD Metro FMR Area",Pointe Coupee Parish,79300,78500,73500,74800
2865,LA,"Alexandria, LA MSA",Rapides Parish,60500,58400,57600,55400
2866,LA,"Red River Parish, LA",Red River Parish,52900,53400,51600,49900
2867,LA,"Richland Parish, LA",Richland Parish,46500,49300,48400,48100
2868,LA,"Sabine Parish, LA",Sabine Parish,54800,57300,55600,53600
2869,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",St. Bernard Parish,70100,70400,67400,65600
2870,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",St. Charles Parish,70100,70400,67400,65600
2871,LA,"Baton Rouge, LA HUD Metro FMR Area",St. Helena Parish,79300,78500,73500,74800
2872,LA,"St. James Parish, LA HUD Metro FMR Area",St. James Parish,66200,67300,66600,64500
2873,LA,"New Orleans-Metairie, LA HUD Metro FMR Area",St. John the Baptist Parish,70100,70400,67400,65600
2874,LA,"St. Landry Parish, LA",St. Landry Parish,42800,43800,43000,44000
