,month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count
3008488,202504,50131,"johnston, ia",424925.0,
3008489,202504,23803,"petersburg, va",249975.0,
3008490,202504,60515,"downers grove, il",570000.0,
3008491,202504,3874,"seabrook, nh",783450.0,
3008492,202504,19709,"middletown, de",600000.0,
3008493,202504,2052,"medfield, ma",1311000.0,
3008469,202504,53024,"grafton, wi",628256.0,
3008468,202504,36030,"forest home, al",299000.0,
3008467,202504,58041,"hankinson, nd",380500.0,
3008466,202504,25043,"clay, wv",265000.0,
3008443,202504,17235,"marion, pa",320000.0,
3008444,202504,28428,"carolina beach, nc",671000.0,
3008445,202504,63537,"edina, mo",149950.0,
3008446,202504,19083,"havertown, pa",575000.0,
3008447,202504,47992,"westpoint, in",482000.0,
3008448,202504,29365,"lyman, sc",339788.0,
3008449,202504,78674,,315000.0,
3008450,202504,35594,"winfield, al",206500.0,
3008451,202504,35749,"harvest, al",349000.0,
3008452,202504,70070,"luling, la",289950.0,
3008453,202504,12018,"averill park, ny",553725.0,
3008454,202504,61014,"chadwick, il",161900.0,
3008455,202504,32908,"palm bay, fl",369225.0,
3008456,202504,79936,"el paso, tx",269450.0,
3008457,202504,75056,"the colony, tx",646500.0,
3008458,202504,10461,"bronx, ny",708500.0,
3008459,202504,67114,"newton, ks",249500.0,
3008460,202504,62984,"shawneetown, il",30000.0,
3008461,202504,49446,"new era, mi",249225.0,
3008462,202504,89060,"pahrump, nv",421175.0,
3008463,202504,25443,"shepherdstown, wv",608850.0,
3008464,202504,93285,"wofford heights, ca",270000.0,
3008465,202504,98250,"friday harbor, wa",1199950.0,
3008494,202504,35184,"west blocton, al",279000.0,
3008496,202504,8077,"riverton, nj",425000.0,
3008549,202504,8805,"bound brook, nj",502400.0,
3008536,202504,41563,"shelby gap, ky",75000.0,
3008525,202504,2144,"somerville, ma",1384500.0,
3008526,202504,52556,"fairfield, ia",202500.0,
3008527,202504,49633,"fife lake, mi",375500.0,
3008528,202504,13159,"tully, ny",412450.0,
3008529,202504,92363,"needles, ca",239225.0,
3008530,202504,18438,"lakeville, pa",585183.0,
3008531,202504,1529,"millville, ma",512425.0,
3008532,202504,70392,"patterson, la",208750.0,
3008533,202504,91910,"chula vista, ca",790000.0,
3008534,202504,10511,"buchanan, ny",474900.0,
